Product Title,Price,Rating,Reviews,Product URL
Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,"Rs. 1,029",4.2 out of 5 stars,"5,106","https://www.amazon.in/Lavie-Broxa-Womens-Sling-Navy/dp/B08KT1PR6Q/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-73
"
Motherly Stylish Babies Diaper Bags for Mothers - Economical Version (Grey Pink),"Rs. 1,849",4.6 out of 5 stars,"5,066","https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-74
"
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"Rs. 1,358",4.2 out of 5 stars,"1,268","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDYwMjYzNTcwMjM0MDA2OjE2NjcwNTUzMjY6c3BfbXRmOjIwMDQxNjk1Njc2NTA2OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7D21FV%2Fref%3Dsr_1_75_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055326%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-75-spons%26psc%3D1
"
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 1000),"Rs. 1,499",4.3 out of 5 stars,"7,291","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDYwMjYzNTcwMjM0MDA2OjE2NjcwNTUzMjY6c3BfbXRmOjIwMDMyNTY1MDQ2OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHEROZ-Hammer-Backpack-Resistant-Durable%2Fdp%2FB07M82M8G7%2Fref%3Dsr_1_76_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055326%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-76-spons%26psc%3D1%26smid%3DAGHKR430JFM4U
"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags, Black Light Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping.","Rs. 1,181",3.8 out of 5 stars,667,"https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-77
"
HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black),"Rs. 1,149",4.0 out of 5 stars,434,"https://www.amazon.in/HP-Lightweight-100-Black-Backpack/dp/B08CY1YXCK/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-78
"
"Red Lemon Minimalist (Magna) Messenger Laptop Bag Waterproof Large Capacity Laptop Sleeve Handbag for Men and Women Notebook bag (Black) (14"")",Rs. 699,3.7 out of 5 stars,18,"https://www.amazon.in/Red-Lemon-Minimalist-Messenger-Waterproof/dp/B09M764GRJ/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-79
"
Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags,Rs. 923,3.3 out of 5 stars,4,"https://www.amazon.in/Aristocrat-Unisex-Premium-Poleyester-Fabric/dp/B09ZV9MSFQ/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-80
"
"Storite Nylon 46 Cm Multi Purpose Travel Duffle Bag with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)","Rs. 1,299",4.2 out of 5 stars,39,"https://www.amazon.in/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-81
"
Caprese Women's Tote Bag (Grey),"Rs. 1,079",4.1 out of 5 stars,74,"https://www.amazon.in/Caprese-Womens-Tote-bag-Grey/dp/B09FT3MGCC/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-82
"
BEATLE NXT 01 LAPTOP BACKPACK (E) BLUE,"Rs. 1,197",3.6 out of 5 stars,18,"https://www.amazon.in/BEATLE-NXT-LAPTOP-BACKPACK-BLUE/dp/B0B3Y27TYX/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-83
"
Baggit Women's Sling bag (Olive),Rs. 809,3.9 out of 5 stars,74,"https://www.amazon.in/Baggit-Womens-Satchel-Handbag-Green/dp/B098TJWT8K/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-84
"
